Atomic Mass Adjustment data 
"The Ame2016 atomic mass evaluation (I)"   by W.J.Huang, G.Audi, M.Wang, F.G.Kondev, S.Naimi and X.Xu
"The Ame2016 atomic mass evaluation (II)"   by W.J.Huang, G.Audi, M.Wang, F.G.Kondev, S.Naimi and X.Xu

NUM	ELEMENT	N	Z	MASS_EXCESS	ME_unc
532	As	39	33	-68229.798	4.083
533	Se	38	34	-67868.18	1.956
534	Br	37	35	-59061.743	1.025
535	Kr	36	36	-53940.575	8.011
536	Ni	45	28	-50108.152	2.423
537	Cu	44	29	-58987.437	1.942
538	Zn	43	30	-65593.402	1.863
539	Ga	42	31	-69699.335	1.677
540	Ge	41	32	-71297.523	0.057
541	As	40	33	-70952.747	3.853
542	Se	39	34	-68227.387	7.424
543	Br	38	35	-63647.475	7.266
544	Kr	37	36	-56551.751	6.578
545	Cu	45	29	-56006.205	6.148
546	Zn	44	30	-65756.712	2.515
547	Ga	43	31	-68049.617	2.994
548	Ge	42	32	-73422.442	0.013
549	As	41	33	-70860.054	1.693
550	Se	40	34	-72213.201	0.015
551	Br	39	35	-65288.153	5.835
552	Kr	38	36	-62331.836	2.013
553	Rb	37	37	-51916.009	3.027
554	Cu	46	29	-54471.341	2.33
555	Zn	45	30	-62558.908	1.956
556	Ga	44	31	-68464.58	2.422
557	Ge	43	32	-71856.965	0.052
558	As	42	33	-73034.195	0.884
559	Se	41	34	-72169.481	0.073
560	Br	40	35	-69107.009	4.285
561	Kr	39	36	-64323.624	8.104
562	Rb	38	37	-57218.694	1.18
563	Sr	37	38	-46618.694	220.003
564	Cu	47	29	-50975.985	6.707
565	Zn	46	30	-62303.016	1.456
566	Ga	45	31	-66296.64	1.956
567	Ge	44	32	-73212.889	0.018
568	As	43	33	-72291.377	0.886
569	Se	42	34	-75251.95	0.016
570	Br	41	35	-70289.068	9.322
571	Kr	40	36	-69013.714	4.013
572	Rb	39	37	-60479.081	0.938
573	Sr	38	38	-54247.639	34.465
574	Zn	47	30	-58789.195	1.973
575	Ga	46	31	-65992.344	2.422
576	Ge	45	32	-71212.862	0.053
577	As	44	33	-73916.318	1.693
578	Se	43	34	-74599.488	0.062
579	Br	42	35	-73234.809	2.811
580	Kr	41	36	-70169.443	1.956
581	Rb	40	37	-64830.492	1.304
582	Sr	39	38	-57803.436	7.918
583	Cu	49	29	-44497.469	503.007
584	Zn	48	30	-57483.235	1.944
585	Ga	47	31	-63705.95	1.903
586	Ge	46	32	-71862.05	3.536
587	As	45	33	-72816.94	9.781
588	Se	44	34	-77025.944	0.179
589	Br	43	35	-73452.16	3.58
590	Kr	42	36	-74178.275	0.307
591	Rb	41	37	-66935.419	3.237
592	Sr	40	38	-63173.941	7.452
593	Zn	49	30	-53432.295	2.225
594	Ga	48	31	-62547.679	1.868
595	Ge	47	32	-69526.592	37.181
596	As	46	33	-73636.049	5.328
597	Se	45	34	-75917.459	0.223
598	Br	44	35	-76068.035	1.021
599	Kr	43	36	-74442.257	3.486
600	Rb	42	37	-70802.985	2.142
601	Sr	41	38	-65476.889	8.383
602	Y	40	39	-57817.833	79.177
603	Zn	50	30	-51648.612	2.585
604	Ga	49	31	-59223.667	2.891
605	Ge	48	32	-69535.306	2.054
606	As	47	33	-72214.493	3.333
607	Se	46	34	-77759.457	0.963
608	Br	45	35	-75888.993	1.012
609	Kr	44	36	-77893.346	0.691
610	Rb	43	37	-72175.467	1.863
611	Sr	42	38	-70311.459	3.464
612	Y	41	39	-61148.152	6.242
613	Zn	51	30	-46199.663	5.03
614	Ga	50	31	-57627.954	3.264
615	Ge	49	32	-66291.687	2.055
616	As	48	33	-72533.304	2.644
617	Se	47	34	-76388.988	0.992
618	Br	46	35	-77977.034	0.978
619	Kr	45	36	-77696.181	1.074
620	Rb	44	37	-75456.67	4.904
621	Sr	43	38	-71528.125	3.128
622	Y	42	39	-65712.912	5.405
623	Zr	41	40	-57460.139	94.081
624	Zn	52	30	-42313.954	3.074
625	Ga	51	31	-52930.719	2.426
626	Ge	50	32	-65415.067	2.241
627	As	49	33	-70105.419	3.729
628	Se	48	34	-77593.882	0.467
629	Br	47	35	-77498.661	0.971
630	Kr	46	36	-80591.78515	0.00549
631	Rb	45	37	-76187.803	3.009
632	Sr	44	38	-76010.053	5.992
633	Y	43	39	-68064.091	5.499
634	Zr	42	40	-63631.287	11.178
635	Ga	52	31	-49257.122	2.613
636	Ge	51	32	-60976.435	2.427
637	As	50	33	-69669.323	2.799
638	Se	49	34	-75340.53	3.036
639	Br	48	35	-79013.709	3.795
640	Kr	47	36	-79990.633	0.009
641	Rb	46	37	-79070.63	2.329
642	Sr	45	38	-76797.606	6.834
643	Y	44	39	-72205.665	18.631
644	Zr	43	40	-65911.654	6.43
645	Nb	42	41	-57556.083	150.902
646	Ge	52	32	-58148.428	3.171
647	As	51	33	-65853.56	3.171
648	Se	50	34	-75947.721	1.961
649	Br	49	35	-77783.084	25.73
650	Kr	48	36	-82439.3351	0.00379
651	Rb	47	37	-79758.964	2.194
652	Sr	46	38	-80649.57	1.243
653	Y	45	39	-73894.431	4.299
654	Zr	44	40	-71421.686	5.499
655	Nb	43	41	-61218.717	13.041
656	Ge	53	32	-53123.42	3.729
657	As	52	33	-63189.144	3.078
658	Se	51	34	-72413.636	2.613
659	Br	50	35	-78575.469	3.078
660	Kr	49	36	-81480.331	2
661	Rb	48	37	-82167.3305	0.00498
662	Sr	47	38	-81103.28	2.813
663	Y	46	39	-77842.123	18.965
664	Zr	45	40	-73175.189	6.43
665	Nb	44	41	-66279.676	4.099
666	Mo	43	42	-57509.753	15.835
667	Ge	54	32	-49399.922	437.802
668	As	53	33	-58962.142	3.45
669	Se	52	34	-70503.167	2.52
670	Br	51	35	-75632.252	3.078
671	Kr	50	36	-83265.66564	0.00369
672	Rb	49	37	-82746.993	0.2
673	Sr	48	38	-84523.08935	0.00522
674	Y	47	39	-79283.089	14.142
675	Zr	46	40	-77969.014	3.566
676	Nb	45	41	-69134.054	5.499
677	Mo	44	42	-64110.245	3.726
678	As	54	33	-55617.907	2.985
679	Se	53	34	-66426.125	2.241
680	Br	52	35	-73891.676	3.171
681	Kr	51	36	-80709.522	0.246
682	Rb	50	37	-84597.791	0.006
683	Sr	49	38	-84880.06595	0.0051
684	Y	48	39	-83018.376	1.128
685	Zr	47	40	-79347.137	4.146
686	Nb	46	41	-73874.486	6.802
687	Mo	45	42	-66884.808	2.857
688	Tc	44	43	-57690.044	4.192
689	Se	54	34	-63884.195	3.357
690	Br	53	35	-70715.959	3.171
691	Kr	52	36	-79691.286	2.608
692	Rb	51	37	-82608.995	0.159
693	Sr	50	38	-87921.61793	0.00558
694	Y	49	39	-84299.018	1.5
695	Zr	48	40	-83628.871	5.403
696	Nb	47	41	-76173.586	58.81
697	Mo	46	42	-72686.544	3.819
698	Tc	45	43	-61681.315	149.039
699	Se	55	34	-58992.391	3.729
700	Br	54	35	-68274.263	3.264
701	Kr	53	36	-76535.785	2.142
702	Rb	52	37	-81712.388	5.427
703	Sr	51	38	-86209.017	0.092
704	Y	50	39	-87708.352	1.612
705	Zr	49	40	-84875.561	3.083
706	Nb	48	41	-80625.209	23.631
707	Mo	47	42	-75014.935	3.912
708	Tc	46	43	-67394.848	3.819
709	Se	56	34	-55800.217	329.749
710	Br	55	35	-64000.298	3.357
711	Kr	54	36	-74959.25	1.863
712	Rb	53	37	-79364.404	6.484
713	Sr	52	38	-85948.127	2.124
714	Y	51	39	-86494.062	1.611
715	Zr	50	40	-88772.535	0.118
716	Nb	49	41	-82661.519	3.317
717	Mo	48	42	-80172.503	3.463
718	Tc	47	43	-70724.687	1.025
719	Ru	46	44	-64883.792	3.73
720	Se	57	34	-50580.124	433.145
721	Br	56	35	-61107.294	3.544
722	Kr	55	36	-70973.965	2.236
723	Rb	54	37	-77745.037	7.801
724	Sr	53	38	-83651.927	5.453
725	Y	52	39	-86351.295	1.843
726	Zr	51	40	-87895.566	0.105
727	Nb	50	41	-86638.001	2.926
728	Mo	49	42	-82208.821	6.238
729	Tc	48	43	-75986.646	2.363
730	Ru	47	44	-68239.823	2.221
731	Br	57	35	-56232.805	6.709
732	Kr	56	36	-68769.32	2.701
733	Rb	55	37	-74772.438	6.123
734	Sr	54	38	-82867.361	3.423
735	Y	53	39	-84816.492	9.127
736	Zr	52	40	-88459.028	0.102
737	Nb	51	41	-86453.292	1.785
738	Mo	50	42	-86808.576	0.157
739	Tc	49	43	-78925.693	3.102
740	Ru	48	44	-74301.201	2.718
741	Rh	47	45	-62999.087	4.378
742	Br	58	35	-52890.23	430.816
743	Kr	57	36	-64135.994	2.515
744	Rb	56	37	-72619.901	7.83
745	Sr	55	38	-80085.838	7.554
746	Y	54	39	-84227.157	10.488
747	Zr	53	40	-87122.032	0.457
748	Nb	52	41	-87212.838	1.491
749	Mo	51	42	-86807.069	0.181
750	Tc	50	43	-83606.106	1.012
751	Ru	49	44	-77216.713	2.065
752	Rh	48	45	-69011.8	2.629
753	Kr	58	36	-61347.772	12.109
754	Rb	57	37	-68562.785	2.029
755	Sr	56	38	-78845.711	1.663
756	Y	55	39	-82351.463	6.38
757	Zr	54	40	-87269.322	0.164
758	Nb	53	41	-86369.062	1.491
759	Mo	52	42	-88414.065	0.141
760	Tc	51	43	-84158.317	4.071
761	Ru	50	44	-82583.591	3.143
762	Rh	49	45	-72907.613	3.379
763	Pd	48	46	-66102.268	4.287
764	Kr	59	36	-56158.913	18.63
765	Rb	58	37	-65891.493	20.245
766	Sr	57	38	-75119.551	5.812
767	Y	56	39	-81208.848	6.779
768	Zr	55	40	-85659.94	0.869
769	Nb	54	41	-86786.258	0.508
770	Mo	53	42	-87711.858	0.123
771	Tc	52	43	-86021.341	5.08
772	Ru	51	44	-83457.745	9.502
773	Rh	50	45	-78340.606	3.886
774	Pd	49	46	-69965.9	3.031
775	Kr	60	36	-53079.678	20.493
776	Rb	59	37	-61354.349	3.353
777	Sr	58	38	-72924.157	8.475
778	Y	57	39	-78335.895	6.088
779	Zr	56	40	-85438.846	0.114
780	Nb	55	41	-85602.816	0.147
781	Mo	54	42	-88794.876	0.12
782	Tc	53	43	-85821.634	5.146
783	Ru	52	44	-86080.372	0.17
784	Rh	51	45	-79687.718	10.001
785	Pd	50	46	-76183.406	4.194
786	Ag	49	47	-64511.636	90.084
787	Kr	61	36	-47423.492	130.409
788	Rb	60	37	-58519.137	1.912
789	Sr	59	38	-68581.454	3.385
790	Y	58	39	-76121.424	6.719
791	Zr	57	40	-82942.661	0.414
792	Nb	56	41	-85605.776	4.249
793	Mo	55	42	-87544.691	0.165
794	Tc	54	43	-87224.424	4.118
795	Ru	53	44	-86120.552	2.763
796	Rh	52	45	-82597.552	35.463
797	Pd	51	46	-77805.843	4.844
798	Ag	50	47	-70825.843	110.107
799	Rb	61	37	-54369.146	16.083
800	Sr	60	38	-66423.104	3.226
801	Y	59	39	-72294.777	7.929
802	Zr	58	40	-81286.709	8.451
803	Nb	57	41	-83524.598	5.001
804	Mo	56	42	-88115.972	0.174
805	Tc	55	43	-86432.205	3.38
806	Ru	54	44	-88224.858	6.463
807	Rh	53	45	-83175.205	11.906
808	Pd	52	46	-81320.975	4.742
809	Ag	51	47	-73066.415	32.907
810	Cd	50	48	-67636.415	51.797
811	Rb	62	37	-51121.143	4.031
812	Sr	61	38	-62521.401	4.741
813	Y	60	39	-70649.825	6.627
814	Zr	59	40	-77620.617	10.502
815	Nb	58	41	-82335.341	12.004
816	Mo	57	42	-85970.098	0.229
817	Tc	56	43	-87327.862	0.908
818	Ru	55	44	-87625.381	0.344
819	Rh	54	45	-85581.3	6.697
820	Pd	53	46	-82182.651	4.981
821	Ag	52	47	-76712.473	6.265
822	Cd	51	48	-69931.123	1.584
823	Rb	63	37	-46247.064	19.561
824	Sr	62	38	-59820.903	7.16
825	Y	61	39	-67327.396	11.186
826	Zr	60	40	-76377.437	8.149
827	Nb	59	41	-79797.399	7.986
828	Mo	58	42	-86193.025	0.302
829	Tc	57	43	-86020.945	1.351
830	Ru	56	44	-89227.389	0.343
831	Rh	55	45	-85591.126	18.125
832	Pd	54	46	-85212.778	17.638
833	Ag	53	47	-78137.959	5
834	Cd	52	48	-74194.596	1.677
835	In	51	49	-64312.972	182.519
836	Sn	50	50	-57282.972	301.518
837	Sr	63	38	-55324.907	8.48
838	Y	62	39	-65061.002	7.092
839	Zr	61	40	-73165.957	8.339
840	Nb	60	41	-78891.491	3.749
841	Mo	59	42	-83519.949	0.309
842	Tc	58	43	-86344.594	24.004
843	Ru	57	44	-87958.114	0.415
844	Rh	56	45	-87412.416	5.841
845	Pd	55	46	-85432.132	4.588
846	Ag	54	47	-81334.374	4.838
847	Cd	53	48	-75836.456	1.49
848	Sn	51	50	-60305.626	300.005
849	Sr	64	38	-52159.304	67.068
850	Y	63	39	-61173.177	4.077
851	Zr	62	40	-71587.707	8.767
852	Nb	61	41	-76304.544	2.545
853	Mo	60	42	-83566.061	8.312
854	Tc	59	43	-84572.878	9.166
855	Ru	58	44	-89106.437	0.418
856	Rh	57	45	-86783.318	6.41
857	Pd	56	46	-87903.171	0.554
858	Ag	55	47	-82246.691	8.171
859	Cd	54	48	-79659.691	1.662
860	In	53	49	-70694.884	4.573
861	Sn	52	50	-64934.884	100.105
862	Y	64	39	-58457.575	11.204
863	Zr	63	40	-67815.334	9.232
864	Nb	62	41	-75028.671	3.935
865	Mo	61	42	-80960.67	9.232
866	Tc	60	43	-84603.867	9.81
867	Ru	59	44	-87267.171	0.443
868	Rh	58	45	-88031.708	2.301
869	Pd	57	46	-87457.189	0.95
870	Ag	56	47	-84802.692	4.099
871	Cd	55	48	-80651.616	1.811
872	In	54	49	-74632.591	9.625
873	Sn	53	50	-66972.591	70.659
874	Zr	64	40	-65724.06	9.325
875	Nb	63	41	-71819.012	2.737
876	Mo	62	42	-80349.968	8.921
877	Tc	61	43	-82503.444	24.888
878	Ru	60	44	-88095.71	2.498
879	Rh	59	45	-86959.348	2.303
880	Pd	58	46	-89395.105	1.336
881	Ag	57	47	-85116.452	4.217
882	Cd	56	48	-83968.38	1.673
883	In	55	49	-76182.665	5.775
884	Sn	54	50	-71627.047	5.745
885	Sb	53	51	-59173.62	122.444
886	Y	66	39	-51270.361	1336.694
887	Zr	65	40	-61464.734	12.118
888	Nb	64	41	-69915.551	4.028
889	Mo	63	42	-77337.141	9.065
890	Tc	62	43	-82290.088	35.264
891	Ru	61	44	-85934.49	2.499
892	Rh	60	45	-87851.243	2.502
893	Pd	59	46	-88417.888	1.138
894	Ag	58	47	-87070.836	4.544
895	Cd	57	48	-84333.839	1.392
896	In	56	49	-79640.572	10.246
897	Sn	55	50	-73337.992	3.971
898	Sb	54	51	-64015.482	21.827
899	Te	53	52	-52811.51	300.02
900	Zr	66	40	-58549.987	433.145
901	Nb	65	41	-66203.357	4.122
902	Mo	64	42	-76134.528	9.14
903	Tc	63	43	-79776.223	12.25
904	Ru	62	44	-86323.223	5.391
905	Rh	61	45	-86362.627	5.39
906	Pd	60	46	-89907.527	1.106
907	Ag	59	47	-86942.383	3.016
908	Cd	58	48	-87132.138	1.104
909	In	57	49	-80608.134	12.226
910	Sn	56	50	-77353.687	5.091
911	Sb	55	51	-66473.292	7.452
912	Te	54	52	-58219.748	100.541
913	Zr	67	40	-54379.688	1122.45
914	Nb	66	41	-63723.81	8.023
915	Mo	65	42	-72551.56	9.233
916	Tc	64	43	-78749.914	8.673
917	Ru	63	44	-83862.512	8.673
918	Rh	62	45	-86863.703	12.051
919	Pd	61	46	-88372.639	1.201
920	Ag	60	47	-88406.67	2.382
921	Cd	59	48	-86990.261	1.665
922	In	58	49	-83564.261	11.125
923	Sn	57	50	-78512.228	5.31
924	Sb	56	51	-70653.239	4.148
925	Te	55	52	-60539.326	70.83
926	Nb	67	41	-59545.765	8.237
927	Mo	66	42	-70755.942	9.233
928	Tc	65	43	-75922.778	8.769
929	Ru	64	44	-83661.35	8.68
930	Rh	63	45	-85031.721	13.996
931	Pd	62	46	-89524.206	1.108
932	Ag	61	47	-87606.763	2.388
933	Cd	60	48	-89252.414	1.123
934	In	59	49	-84119.819	8.641
935	Sn	58	50	-82069.938	5.382
936	Sb	57	51	-72445.331	5.496
937	Te	56	52	-65781.667	5.411
938	I	55	53	-52649.605	132.26
939	Nb	68	41	-56689.794	258.49
940	Mo	67	42	-66665.996	11.188
941	Tc	66	43	-74282.775	9.669
942	Ru	65	44	-80738.401	8.954
943	Rh	64	45	-84999.455	4.039
944	Pd	63	46	-87606.476	1.114
945	Ag	62	47	-88719.426	1.287
946	Cd	61	48	-88504.321	1.536
947	In	60	49	-86489.511	3.969
948	Sn	59	50	-82630.184	7.949
949	Sb	58	51	-76250.977	5.265
950	Te	57	52	-67715.39	4.382
951	I	56	53	-57672.496	6.729
952	Xe	55	54	-46169.548	300.108
953	Nb	69	41	-52309.909	838.345
954	Mo	68	42	-64542.585	24.223
955	Tc	67	43	-71034.51	9.497
956	Ru	66	44	-80072.576	8.924
957	Rh	65	45	-82828.686	17.805
958	Pd	64	46	-88330.905	0.612
959	Ag	63	47	-87457.302	1.286
960	Cd	62	48	-90347.969	0.38
961	In	61	49	-86469.969	11.553
962	Sn	60	50	-85841.983	13.777
963	Sb	59	51	-77449.734	5.962
964	Te	58	52	-72229.811	6.575
965	I	57	53	-60464.176	50.552
966	Xe	56	54	-51922.625	100.988
967	Mo	69	42	-59939.761	12.578
968	Tc	68	43	-69024.622	10.581
969	Ru	67	44	-76785.271	9.682
970	Rh	66	45	-82304.452	6.85
971	Pd	65	46	-85985.888	0.731
972	Ag	64	47	-88215.447	1.459
973	Cd	63	48	-89252.247	0.357
974	In	62	49	-88392.043	3.424
975	Sn	61	50	-85938.587	5.336
976	Sb	60	51	-80836.736	8.849
977	Te	59	52	-73587.477	6.427
978	I	58	53	-64953.785	4.754
979	Xe	57	54	-54395.534	86.7
980	Tc	69	43	-65258.938	5.515
981	Ru	68	44	-75630.818	9.599
982	Rh	67	45	-79731.503	44.085
983	Pd	66	46	-86321.562	6.544
984	Ag	65	47	-86583.718	2.422
985	Cd	64	48	-90574.859	0.25
986	In	63	49	-87990.131	4.251
987	Sn	62	50	-88655.056	0.294
988	Sb	61	51	-81598.965	17.829
989	Te	60	52	-77567.508	8.383
990	I	59	53	-67063.33	10.246
991	Xe	58	54	-60026.338	8.283
992	Cs	57	55	-46290.277	86.796
993	Tc	70	43	-62811.541	3.353
994	Ru	69	44	-71868.119	36.875
995	Rh	68	45	-78767.536	7.13
996	Pd	67	46	-83591.092	6.945
997	Ag	66	47	-87026.822	16.643
998	Cd	65	48	-89043.284	0.244
999	In	64	49	-89367.117	0.188
1000	Sn	63	50	-88328.132	1.575
1001	Sb	62	51	-84416.968	17.193
1002	Te	61	52	-78347.029	27.945
1003	I	60	53	-71119.507	8.011
1004	Xe	59	54	-62203.618	6.84
1005	Cs	58	55	-51764.53	8.577
1006	Tc	71	43	-58600.288	433.145
1007	Ru	70	44	-70221.811	3.55
1008	Rh	69	45	-75710.625	71.561
1009	Pd	68	46	-83490.943	6.945
1010	Ag	67	47	-84930.8	4.564
1011	Cd	66	48	-90014.932	0.276
1012	In	65	49	-88569.801	0.301
1013	Sn	64	50	-90559.723	0.029
1014	Sb	63	51	-84496.574	21.838
1015	Te	62	52	-81888.569	27.945
1016	Xe	60	54	-67085.89	11.178
1017	Cs	59	55	-54682.261	71.102
1018	Ba	58	56	-45905.426	102.676
1019	Tc	72	43	-56319.99	789.441
1020	Ru	71	44	-66189.734	88.496
1021	Rh	70	45	-74229.831	7.316
1022	Pd	69	46	-80426.386	13.546
1023	Ag	68	47	-84982.654	18.268
1024	Cd	67	48	-88084.479	0.651
1025	In	66	49	-89536.346	0.012
1026	Sn	65	50	-90033.835	0.015
1027	Sb	64	51	-87003.403	16.025
1028	Te	63	52	-82062.759	27.945
1029	I	62	53	-76337.797	28.876
1030	Xe	61	54	-68656.748	12.109
1031	Ru	72	44	-64068.909	3.726
1032	Rh	71	45	-70736.122	73.832
1033	Pd	70	46	-79831.635	7.132
1034	Ag	69	47	-82542.653	3.26
1035	Cd	68	48	-88712.48	0.16
1036	In	67	49	-88249.749	0.22
1037	Sn	66	50	-91525.97	0.096
1038	Sb	65	51	-86822.15	5.16
1039	Te	64	52	-85268.961	27.945
1040	I	63	53	-77492.236	96.592
1041	Xe	62	54	-73046.724	13.041
1042	Ru	73	44	-59489.865	433.145
1043	Rh	72	45	-68897.373	8.892
1044	Pd	71	46	-76424.477	7.252
1045	Ag	70	47	-82182.014	13.572
1046	Cd	69	48	-86418.389	1.013
1047	In	68	49	-88943.042	4.881
1048	Sn	67	50	-90397.751	0.483
1049	Sb	66	51	-88639.539	8.437
1050	Te	65	52	-85095.411	13.456
1051	I	64	53	-80436.077	26.196
1052	Xe	63	54	-74185.337	10.378
1053	Cs	62	55	-66493.092	62.41
1054	Ba	61	56	-57457.753	250.34
1055	Rh	73	45	-64887.46	24.235
1056	Pd	72	46	-75388.746	2.491
1057	Ag	71	47	-79553.792	2.515
1058	Cd	70	48	-86701.641	20.001
1059	In	69	49	-87228.211	7.752
1060	Sn	68	50	-91652.853	0.499
1061	Sb	67	51	-87996.213	3.016
1062	Te	66	52	-87696.584	18.481
